epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682853454931,2023-04-30T14.17.34.931,1.659,0.015,0.002,-0.010
1682853454940,2023-04-30T14.17.34.940,1.668,0.017,0.005,0.002
1682853454950,2023-04-30T14.17.34.950,1.678,0.027,0.000,0.008
1682853454962,2023-04-30T14.17.34.962,1.690,0.029,0.000,0.017
1682853454971,2023-04-30T14.17.34.971,1.699,0.029,0.001,0.020
1682853454981,2023-04-30T14.17.34.981,1.709,0.029,-0.006,0.018
1682853454991,2023-04-30T14.17.34.991,1.719,0.026,0.000,0.020
1682853455002,2023-04-30T14.17.35.002,1.730,0.018,0.003,0.016
1682853455012,2023-04-30T14.17.35.012,1.740,0.004,0.009,0.016
1682853455022,2023-04-30T14.17.35.022,1.750,0.019,0.014,0.027
1682853455032,2023-04-30T14.17.35.032,1.760,0.011,0.002,0.013
1682853455043,2023-04-30T14.17.35.043,1.771,0.002,0.004,0.008
1682853455051,2023-04-30T14.17.35.051,1.779,0.010,0.005,0.015
1682853455062,2023-04-30T14.17.35.062,1.790,0.020,0.007,0.027
1682853455072,2023-04-30T14.17.35.072,1.800,0.027,0.004,0.031
1682853455082,2023-04-30T14.17.35.082,1.810,0.018,0.004,0.017
1682853455092,2023-04-30T14.17.35.092,1.820,0.036,0.003,0.021
1682853455103,2023-04-30T14.17.35.103,1.831,0.027,-0.003,0.001
1682853455113,2023-04-30T14.17.35.113,1.841,0.022,-0.005,-0.009
1682853455123,2023-04-30T14.17.35.123,1.851,0.010,0.002,0.002
1682853455133,2023-04-30T14.17.35.133,1.861,-0.001,0.008,0.010
1682853455144,2023-04-30T14.17.35.144,1.872,0.018,0.005,0.017
1682853455154,2023-04-30T14.17.35.154,1.882,0.023,-0.005,0.010
1682853455164,2023-04-30T14.17.35.164,1.892,0.019,-0.006,0.001
1682853455173,2023-04-30T14.17.35.173,1.901,0.032,-0.012,0.000
1682853455183,2023-04-30T14.17.35.183,1.911,0.040,-0.024,-0.009
1682853455194,2023-04-30T14.17.35.194,1.922,0.031,-0.023,-0.021
1682853455204,2023-04-30T14.17.35.204,1.932,0.020,-0.007,-0.015
1682853455214,2023-04-30T14.17.35.214,1.942,0.015,0.003,0.000
1682853455224,2023-04-30T14.17.35.224,1.952,0.011,0.003,0.007
1682853455235,2023-04-30T14.17.35.235,1.963,0.014,0.004,0.016
1682853455245,2023-04-30T14.17.35.245,1.973,0.017,0.009,0.030
1682853455255,2023-04-30T14.17.35.255,1.983,0.028,-0.004,0.025
1682853455265,2023-04-30T14.17.35.265,1.993,0.027,-0.009,0.015
1682853455274,2023-04-30T14.17.35.274,2.002,0.021,-0.001,0.015
1682853455286,2023-04-30T14.17.35.286,2.014,0.027,-0.005,0.000
1682853455295,2023-04-30T14.17.35.295,2.023,0.017,0.005,0.011
1682853455305,2023-04-30T14.17.35.305,2.033,0.006,0.012,0.011
1682853455315,2023-04-30T14.17.35.315,2.043,0.008,0.007,0.005
1682853455325,2023-04-30T14.17.35.325,2.053,0.007,0.013,0.015
1682853455336,2023-04-30T14.17.35.336,2.064,0.018,0.007,0.017
1682853455346,2023-04-30T14.17.35.346,2.074,0.021,0.006,0.017
1682853455356,2023-04-30T14.17.35.356,2.084,0.029,0.010,0.029
1682853455366,2023-04-30T14.17.35.366,2.094,0.031,0.007,0.025
1682853455377,2023-04-30T14.17.35.377,2.105,0.027,-0.001,0.005
1682853455385,2023-04-30T14.17.35.385,2.113,0.017,0.000,-0.004
1682853455397,2023-04-30T14.17.35.397,2.125,0.008,0.004,-0.001
1682853455406,2023-04-30T14.17.35.406,2.134,0.010,0.013,0.007
1682853455416,2023-04-30T14.17.35.416,2.144,0.013,0.017,0.013
1682853455426,2023-04-30T14.17.35.426,2.154,0.014,0.012,0.012
1682853455437,2023-04-30T14.17.35.437,2.165,0.019,0.008,0.019
1682853455447,2023-04-30T14.17.35.447,2.175,0.025,0.005,0.022
1682853455457,2023-04-30T14.17.35.457,2.185,0.027,0.007,0.027
1682853455467,2023-04-30T14.17.35.467,2.195,0.034,0.000,0.017
1682853455478,2023-04-30T14.17.35.478,2.206,0.030,-0.001,0.010
1682853455488,2023-04-30T14.17.35.488,2.216,0.022,0.000,0.002
1682853455497,2023-04-30T14.17.35.497,2.225,0.028,-0.007,-0.007
1682853455507,2023-04-30T14.17.35.507,2.235,0.020,0.000,0.002
1682853455517,2023-04-30T14.17.35.517,2.245,0.022,0.015,0.023
1682853455528,2023-04-30T14.17.35.528,2.256,0.021,0.002,0.009
1682853455538,2023-04-30T14.17.35.538,2.266,0.013,0.002,0.006
1682853455548,2023-04-30T14.17.35.548,2.276,0.012,0.011,0.016
1682853455558,2023-04-30T14.17.35.558,2.286,0.019,0.009,0.018
1682853455569,2023-04-30T14.17.35.569,2.297,0.030,-0.002,0.011
1682853455579,2023-04-30T14.17.35.579,2.307,0.023,-0.003,0.005
1682853455589,2023-04-30T14.17.35.589,2.317,0.016,0.007,0.013
1682853455599,2023-04-30T14.17.35.599,2.327,0.019,0.005,0.011
1682853455610,2023-04-30T14.17.35.610,2.338,0.018,0.008,0.018
1682853455618,2023-04-30T14.17.35.618,2.346,0.017,0.010,0.021
1682853455629,2023-04-30T14.17.35.629,2.357,0.024,0.003,0.017
1682853455639,2023-04-30T14.17.35.639,2.367,0.020,0.002,0.012
1682853455649,2023-04-30T14.17.35.649,2.377,0.025,0.000,0.004
1682853455659,2023-04-30T14.17.35.659,2.387,0.013,0.011,0.020
1682853455670,2023-04-30T14.17.35.670,2.398,0.008,0.008,0.013
